user_id,workout_id,timestamp,action,session_id
3804,3,1700033188,start,1
3804,3,1700034501,end,1
2088,1,1700393761,start,1
2088,1,1700395376,end,1
4015,3,1700475597,start,1
4015,3,1700477366,end,1
4015,3,1700478167,start,2
4015,3,1700479953,end,2
3577,3,1700733517,start,1
3577,3,1700735077,end,1
4627,5,1701066995,start,1
4627,5,1701068277,end,1
4627,5,1701069016,start,2
4627,5,1701071418,end,2
3699,2,1701211940,start,1
3699,2,1701213495,end,1
2705,5,1701323284,start,1
2705,5,1701325547,end,1
2705,4,1701326335,start,2
2705,4,1701328642,end,2
2705,3,1701397017,start,1
2705,3,1701397928,end,1
1207,4,1701418359,start,1
1207,4,1701420893,end,1
4015,5,1701697514,start,1
4015,5,1701699328,end,1
4937,1,1702018714,start,1
4937,1,1702019737,end,1
1952,4,1702035580,start,1
1952,4,1702038161,end,1
3219,1,1702117196,start,1
3219,1,1702118191,end,1
3219,4,1702119018,start,2
3219,4,1702121065,end,2
3219,3,1702121834,start,3
3219,3,1702123050,end,3
1053,3,1702404193,start,1
1053,3,1702405518,end,1
1053,4,1702406147,start,2
1053,4,1702408102,end,2
1053,5,1702408723,start,3
1053,5,1702410019,end,3
4837,3,1702449640,start,1
4732,3,1702450728,start,1
4837,3,1702451130,end,1
4732,3,1702452303,end,1
4837,3,1702485753,start,1
4837,3,1702488070,end,1
2304,1,1702497496,start,1
2304,1,1702499399,end,1
2304,1,1702499990,start,2
2304,1,1702502370,end,2
4937,3,1702624045,start,1
4937,3,1702625185,end,1
4937,3,1702625951,start,2
4937,3,1702627769,end,2
4732,3,1702632123,start,1
4732,3,1702633459,end,1
2927,4,1702746803,start,1
2927,4,1702749001,end,1
4952,3,1702824593,start,1
4952,3,1702825654,end,1
3349,5,1702903489,start,1
3349,5,1702904924,end,1
3349,5,1702905588,start,2
3349,5,1702907134,end,2
1585,4,1702970715,start,1
1585,4,1702973015,end,1
3630,2,1703011436,start,1
3630,2,1703012573,end,1
3630,1,1703013062,start,2
3630,1,1703015230,end,2
3630,3,1703015939,start,3
3630,3,1703017051,end,3
2576,1,1703110864,start,1
2576,1,1703113090,end,1
1613,1,1703341139,start,1
1613,1,1703342469,end,1
3349,4,1703359231,start,1
3349,4,1703360726,end,1
2255,3,1703524518,start,1
2255,3,1703526351,end,1
2961,5,1703549695,start,1
2961,5,1703551412,end,1
3223,4,1703566543,start,1
3223,4,1703567760,end,1
1724,2,1703614460,start,1
1724,2,1703616520,end,1
1260,3,1703644617,start,1
1260,3,1703647305,end,1
1260,3,1703648052,start,2
1260,3,1703649257,end,2
2304,5,1703656253,start,1
2304,5,1703657628,end,1
1486,3,1703690851,start,1
1486,3,1703692379,end,1
